id,NODE_NAME
377,이동616
89,속성변화점
297,생수교회
378,화정15교
138,본오교회삼거리
239,명신2교
364,우리동네커피공장
403,새누리장애인부모연대안산지부
118,속성변화점
320,석호초교사거리
281,사동1595
232,학현초교사거리
261,세븐일레븐안산이동점
176,사동1600
444,사동1600
333,사동1613
240,중앙지하차도
113,로얄헤리티지호텔
335,한양빌딩사거리
135,속성변화점
42,초지동784
299,고잔고교사거리
270,화정15교사거리
398,고잔동826
453,검찰사거리
371,IBK기업은행안산중앙지점
323,화정교
109,고잔동794
27,화정12교사거리
16,초지동763
399,초지동770
227,고잔동842
26,해안교
310,성어공원사거리
68,안산1교
462,도미니코수도회
465,사동1346-1
67,동녘교회
370,상록교사거리
80,한대정문사거리
408,사동1621
392,안산8교사거리
226,예은유치원
124,속성변화점
260,속성변화점
351,이동763
317,식물원사거리
142,화정교
249,양지초교사거리
278,보네르빌리지사거리
257,초지동행정복지센터
45,초지동765
276,초지동764
445,고잔동809
62,고잔동839
35,농협사거리
81,BHC치킨
154,안산교
483,속성변화점
331,본오동성당
147,사동1621
361,반석교회
471,사동1593
441,사동1593
48,일동706
294,사동1342-2
245,법원사거리
200,바람공원사거리
433,안산5교사거리
477,초지동762
188,푸르지오4차아파트
180,초지동767
72,본오동703
198,주찬양감리교회
220,상록수보건소
23,속성변화점
141,한국통신사거리
440,사동1602
71,덴마크우유동안산대리점
149,이동748
480,순복음송림교회
208,사동1592
214,사동1615
259,더루체웨딩홀
122,안산행복한교회
475,호수공원사거리
325,화정16교
231,화정11교
49,KT안산지사
390,콩툰만화카페안산중앙점
107,별빛어린이집
156,고잔동837
346,한전사거리
357,안산7교
165,이익선생묘삼거리
469,속성변화점
210,사동1636
76,예일장로교회
336,맑은물교회
43,속성변화점
75,해여림유치원
57,속성변화점
473,상록교
356,속성변화점
407,성안고등학교
61,성안고사거리
224,성안중사거리
463,사동1593
179,의류타운사거리
305,신성교회
218,이동748
195,한우일번가
476,성보교회
348,상상피플
479,브로스컴퍼니
236,송호고교사거리
464,이동766
451,이동771
85,사동1598
360,NH농협은행
264,속성변화점
145,화정11교
330,초지동765
396,초지동765
215,고잔동794
347,고잔동796
376,초지동767
454,치항병원
74,홈플러스삼거리
91,스타프라자사거리
104,고잔동793
178,이동614-27
169,사동1621
235,제자들교회
6,동산고교삼거리
458,감골교회
418,안산대리구청
197,용신고가차도
123,한양대입구교차로
439,임시도로삼거리
105,건국우유대리점상록구전체
103,이동736
250,RICHSMOOTHIE
251,트루바
83,이동734
92,속성변화점
442,붉은섬공원교차로
181,속성변화점
424,이동765
134,이동764
97,사동1627
47,속성변화점
374,법원사거리
460,대흥빌딩
99,초지동765
157,대덕프라자
430,초지동761
34,고잔동820
93,단원미술관사거리
28,안산하늘빛교회
328,도화추어탕
461,초당초등학교
120,다보사
1,본오동1001
152,속성변화점
277,반월중앙감리교회
303,굿모닝오피스텔교차로
191,이동734
422,이동748
10,안산8교
266,이동742
368,이동746
400,사동1594
29,사동1345-3
265,호수공원사거리
365,고잔공원삼거리
59,고잔동826
316,문화광장사거리
13,화정12교사거리
78,지디스타일안산점
340,성재빌딩
39,초지동766
